SeuqneceID,Clade,Type
TB-111-17557-19_S13,Beijing_2,MDR
TB-111-18605-19_S71,Beijing_2,MDR
TB-111-3906-19_S200,Beijing_2,MDR
TB-111-3905-19_S247,Beijing_2,MDR
TB-111-3908-19_S201,Beijing_2,MDR
TB-111-9725-18_S81,Beijing_2,MDR
TB-333-2089-19_S39,Beijing_2,MDR
TB-222-1257-18_S107,Beijing_2,MDR
TB-MoldovaSeq-DNA0217-5425_S27,Beijing_2,MDR
TB-111-8103-18_S73,Beijing_2,MDR
TB-111-10693-18_S43,Beijing_2,MDR
TB-MoldovaSeq-DNA0292-4416_S295,Beijing_2,MDR
TB-222-1682-19-138_S4,Beijing_2,MDR
TB-222-2441-19_S193,Beijing_2,MDR
TB-111-20322-19_S85,Beijing_2,MDR
TB-111-13199-18_S117,Beijing_2,MDR
TB-222-2259-19_S210,Beijing_2,MDR
TB-111-15218-19_S154,Beijing_2,MDR
TB-111-17329-18-138_S9,Beijing_2,MDR
TB-111-352-19_S150,Beijing_2,MDR
TB-111-15348-18_S156,Beijing_2,MDR
TB-333-362-19_S186,Beijing_2,MDR
TB-111-20347-18_S24,Beijing_2,Non-MDR
TB-222-6788-19_S224,Beijing_2,MDR
TB-222-6789-19_S261,Beijing_2,MDR
TB-111-16871-18_S144,Beijing_2,Non-MDR
TB-111-7348-18_S178,Beijing_2,Non-MDR
TB-333-1897-19_S21,Beijing_2,MDR
TB-111-6043-18_S2,Beijing_2,MDR
TB-111-18519-19_S66,Beijing_2,MDR
TB-111-4496-19_S199,Beijing_2,MDR
TB-111-6510-19_S48,Beijing_2,MDR
TB-222-5486-19_S225,Beijing_2,Non-MDR
TB-111-14828-19_S124,Beijing_2,Non-MDR
TB-111-14831-19_S109,Beijing_2,MDR
TB-111-9099-18_S13,Beijing_2,MDR
TB-111-18937-18_S80,Beijing_2,Non-MDR
TB-444-4325-19_S89,Beijing_2,MDR
TB-111-3954-19_S21,Beijing_2,MDR
TB-111-15711-18-138_S15,Beijing_2,Non-MDR
TB-222-5873-19_S247,Beijing_2,MDR
TB-111-14933-19_S121,Beijing_2,Non-MDR
TB-111-6435-18_S186,Beijing_2,Non-MDR
TB-444-5363-18_S57,Beijing_2,MDR
TB-222-2108-18_S149,Beijing_2,Non-MDR
TB-111-10812-18_S5,Beijing_2,Non-MDR
TB-222-3836-18_S178,Beijing_2,Non-MDR
TB-222-2174-19_S78,Beijing_2,Non-MDR
TB-222-1648-19_S16,Beijing_2,Non-MDR
TB-222-5067-18_S71,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA137-1826_S138,Beijing_2,MDR
TB-111-1083-19-138_S95,Beijing_2,Non-MDR
TB-111-1279-18-138_S64,Beijing_2,Non-MDR
TB-222-2112-19_S65,Beijing_2,MDR
TB-111-9753-19_S206,Beijing_2,MDR
TB-111-17495-19_S80,Beijing_2,MDR
TB-222-5569-19_S214,Beijing_2,MDR
TB-111-164-19_S126,Beijing_2,Non-MDR
TB-333-2317-19_S24,Beijing_2,Non-MDR
TB-333-601-19_S127,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA0326-4164_S329,Beijing_2,Non-MDR
TB-111-1972-19-138_S108,Beijing_2,Non-MDR
TB-111-20245-19_S160,Beijing_2,Non-MDR
TB-111-3843-19_S269,Beijing_2,MDR
TB-222-529-18_S140,Beijing_2,Non-MDR
TB-222-5371-19_S262,Beijing_2,MDR
TB-MoldovaSeq-DNA041-423_S41,Beijing_2,MDR
TB-MoldovaSeq-DNA158-1567_S159,Beijing_2,MDR
TB-111-19444-19_S87,Beijing_2,Non-MDR
TB-111-17023-19_S10,Beijing_2,Non-MDR
TB-222-4220-18_S212,Beijing_2,Non-MDR
TB-222-6865-19_S255,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA0237-3588_S47,Beijing_2,Non-MDR
TB-222-5241-19_S252,Beijing_2,Non-MDR
TB-111-24254-18F_S32,Beijing_2,Non-MDR
TB-111-12951-18_S183,Beijing_2,MDR
TB-111-17371-18_S101,Beijing_2,Non-MDR
TB-111-17584-19_S14,Beijing_2,Non-MDR
TB-111-7256-18_S183,Beijing_2,Non-MDR
TB-111-12453-19_S254,Beijing_2,Non-MDR
TB-111-2911-19_S122,Beijing_2,Non-MDR
TB-333-2968-19_S137,Beijing_2,Non-MDR
TB-333-4324-19_S181,Beijing_2,Non-MDR
TB-111-16888-18_S66,Beijing_2,Non-MDR
TB-111-8861-19_S138,Beijing_2,Non-MDR
TB-111-4456-19_S224,Beijing_2,Non-MDR
TB-111-5620-19_S30,Beijing_2,Non-MDR
TB-111-777-19_S262,Beijing_2,Non-MDR
TB-111-7423-18_S7,Beijing_2,Non-MDR
TB-222-3461-18-138_S36,Beijing_2,Non-MDR
TB-222-6448-19_S230,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA147-2239_S148,Beijing_2,Non-MDR
TB-444-2261-18_S13,Beijing_2,Non-MDR
TB-444-2270-18_S198,Beijing_2,Non-MDR
TB-222-6492-19_S267,Beijing_2,Non-MDR
TB-333-2519-19_S35,Beijing_2,Non-MDR
TB-111-16154-18_S89,Beijing_2,Non-MDR
TB-111-8991-18_S48,Beijing_2,Non-MDR
TB-111-20505-18_S19,Beijing_2,Non-MDR
TB-333-2384-19_S26,Beijing_2,Non-MDR
TB-333-5529-19_S64,Beijing_2,Non-MDR
TB-333-667-19_S43,Beijing_2,Non-MDR
TB-222-1888-19_S76,Beijing_2,Non-MDR
TB-333-643-19_S84,Beijing_2,Non-MDR
TB-222-1767-19_S95,Beijing_2,Non-MDR
TB-111-15072-18-138_S69,Beijing_2,Non-MDR
TB-111-12254-18_S120,Beijing_2,Non-MDR
TB-444-4875-19_S32,Beijing_2,Non-MDR
TB-333-579-19_S180,Beijing_2,Non-MDR
TB-111-18148-19_S120,Beijing_2,Non-MDR
TB-333-5403-19_S170,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA0275-4965_S85,Beijing_2,Non-MDR
TB-111-15256-19_S25,Beijing_2,Non-MDR
TB-111-18713-19_S37,Beijing_2,Non-MDR
